category,nights (domestic),nights (inter),total
Hotel/Resort/Motel/Motor inn,114419,41799,156217
Rented accommodation,36285,104025,140310
Caravan park or commercial camping ground,35812,2434,38246
Friends or relatives property,134770,89255,224025
Other accommodation,75997,40655,116654
